dummy,evals,expr,fitness,length
0,253,1 / ((((-3223.4004) * log_v_k_nu) - (-2790.9707))),-3.2860358,4
0,254,(abs(((-0.55038512) - ((-0.0066256085) * log_v_k_nu))) ^ (1 / ((-1.1609462)) - 0.089602046)),-0.062852465,8
0,255,((((-0.30445966) * log_v_k_nu) - (-1.7568586)) - ((-0.32994816) * log_v_k_nu)),-0.06279027,5
0,256,(0.90783036 * log_v_k_nu),-0.6350845,1
0,257,1 / ((1 / (4.9182286) - 1 / ((-2.8345752)))),-0.06317927,6
0,258,1 / (((-0.40614188) * log_v_k_nu)),-3.4028235e+38,2
0,259,((1 / (((-0.81089622) * log_v_k_nu)) + ((-1.1601485) * log_v_k_nu)) * ((-0.28003073) * log_v_k_nu)),-3.4028235e+38,6
0,260,(1 / ((-0.052855723)) * ((-0.24005863) * log_v_k_nu)),-43.282425,4
0,261,(((-0.44970033) * log_v_k_nu) / (-0.40307891)),-0.7745814,3
0,262,1 / (0.55610526),-0.0631793,2
0,263,((abs((-0.23957221)) ^ (-0.26153865)) + 0.34487346),-0.063179314,5
0,264,1 / (1 / (1.7981994)),-0.06317929,3
0,265,1 / (0.5561108),-0.06317928,2
0,266,1 / (((-1341.4443) + ((-579.07916) * log_v_k_nu))),-3.2983327,4
0,267,1 / ((-1693.0996)),-3.298825,2
0,268,1.7981994,-0.06317927,1
0,269,1 / (1 / (1.7981994)),-0.06317929,3
0,270,1 / (0.55611181),-0.06317927,2
0,271,(90.416977 - 88.618736),-0.06317928,3
0,272,(abs(((-0.11949056) + (-0.33744842))) ^ (-0.74904865)),-0.06317938,5
0,273,1.7981994,-0.06317927,1
0,274,((abs(1 / ((0.055212624 * log_v_k_nu))) ^ ((-0.094520561) * log_v_k_nu)) + ((-0.48962721) * (-0.47112066))),-0.8193934,8
0,275,(1.8364919 * (0.7847743 * log_v_k_nu)),-1.5539336,3
0,276,(abs((0.90783036 * log_v_k_nu)) ^ ((-0.34987071) * log_v_k_nu)),-1.1299661,3
0,277,1 / ((1 / (1.3032377) / 1.3797944)),-0.06317933,5
0,278,1 / ((-2183.9482)),-3.298347,2
0,279,1 / ((-18.028816)),-3.499257,2
