dummy,evals,expr,fitness,len
0,229,(1 / ((1 / (68.926949 + log_v_k_nu)) * (1 / 0.025488973))),-0.062790275,8
0,223,(1 / ((1 / (1 / (1 / 70.543846))) * (1 / ((-3.7662079) / (-147.74933))))),-0.0631793,10
0,228,(1 / 0.55611169),-0.06317933,2
0,227,(abs((1 / 0.76395124)) ^ log_v_k_nu),-0.21662089,4
0,218,((1 / 0.46757072) - (1 / 2.9367397)),-0.0631793,5
0,235,(1 / 0.55610609),-0.063179314,2
0,230,(1 / 0.55611175),-0.0631793,2
0,232,((-265.68274) / (-147.74931)),-0.06317927,3
0,234,(1 / (-1953.4375)),-3.298542,2
0,215,(abs((1 / 0.67045015)) ^ 1.4676783),-0.06317934,4
0,236,((-4261.2144) + (log_v_k_nu + 4261.3887)),-0.63147396,5
0,231,(1 / ((1 / (-2.9999475)) * (1 / ((-3.7662063) / 6.2831855)))),-0.06317927,8
0,238,((-265.68274) / (-147.74931)),-0.06317927,3
0,239,(1.7982025 / (1 / 0.99999768)),-0.063179344,4
0,237,(abs(log_v_k_nu) ^ 0.52717489),-0.4616502,3
0,242,(1 / 0.55610609),-0.063179314,2
0,210,((1 / 0.28459892) - (((-2.8341174) / (-1.6131742)) + ((-0.025488857) * log_v_k_nu))),-0.06279028,10
0,243,(1 / (-1953.4375)),-3.298542,2
0,244,1.7981995,-0.06317927,1
0,233,(1 / ((1 / (60.691582 + log_v_k_nu)) * (abs((-3.1021616)) ^ 3.1331682))),-0.06280581,9
0,248,(1 / (-2268.3369)),-3.2982864,2
0,250,(1 / ((-39.182453) / ((-68.833267) - log_v_k_nu))),-0.06279029,6
0,247,(((1 / 0.55611116) + (3.5173352 / (-0.0018047059))) / (1 / (-0.00092246127))),-0.06318331,9
0,249,(1 / (1 / 1.7981997)),-0.0631793,3
0,206,((abs((-0.48537064)) ^ (-1.0440693)) - (1 / 3.0416522)),-0.06317927,6
0,246,(1 / 0.55610752),-0.06317931,2
0,245,((((-1.5449767) * 1.2104161) - (-3.6269226)) + (log_v_k_nu * 0.025488973)),-0.06279028,9
0,252,(1 / ((1 / (68.923248 + log_v_k_nu)) * (1 / ((-3.7662063) / (-147.74933))))),-0.06279028,10
0,255,(abs((log_v_k_nu / 1.4770116)) ^ 1.0633285),-0.82332385,5
0,257,(((-3.7156439) * (-0.76704067)) - (1 / 0.95070547)),-0.06317927,6
0,240,(abs((log_v_k_nu - 1.64738)) ^ log_v_k_nu),-2.3741658,5
0,254,(1 / 0.55610347),-0.06317931,2
0,256,(log_v_k_nu * (1 / 1.101422)),-0.6350845,4
0,260,(1 / ((1 / (60.691582 + log_v_k_nu)) * (1 / log_v_k_nu))),-12419.815,8
0,253,(((-0.46174863) * 0.4219926) * (1 / (-0.10836083))),-0.063179314,6
0,263,((log_v_k_nu * 0.025488807) - (1 / (-0.5691762))),-0.062790275,6
0,258,(abs((1 / (-0.66721803))) ^ 1.4501517),-0.063179344,4
0,251,(1 / (-1458.6577)),-3.299167,2
0,266,((log_v_k_nu * 0.025488639) - (-1.7568583)),-0.062790275,5
0,226,(abs((1 / (-0.75356328))) ^ 2.0738797),-0.06317929,4
0,268,(1 / (1 / (((-2.8341174) / (-1.6131742)) + (0.025488853 * log_v_k_nu)))),-0.062790275,9
0,264,(1 / 0.55608767),-0.063179344,2
0,241,(abs((1 / 0.50983661)) ^ (log_v_k_nu * (1 / 2.5021431))),-0.21662089,7
0,271,(0.90783024 * log_v_k_nu),-0.6350846,3
0,267,(log_v_k_nu * 0.90783048),-0.63508445,3
0,259,(1 / (-2268.3369)),-3.2982864,2
0,274,(1 / (1 / (1 / log_v_k_nu))),-3.4028235e+38,4
0,262,((1 / 0.31203225) - (1 / 0.71096116)),-0.063179314,5
0,273,((-2.8341174) / (-1.6131742)),-0.064888485,3
0,277,(1 / 0.55610752),-0.06317931,2
0,279,((1 / (1 / (1 / log_v_k_nu))) * (((-68.494965) - log_v_k_nu) / 3.627727)),-3.4028235e+38,10
0,278,(1 / ((-39.182453) / ((-68.833267) - log_v_k_nu))),-0.06279029,6
0,280,(((log_v_k_nu - 98.717392) + (log_v_k_nu * (-2.4322114))) / (1 / (-0.017796842))),-0.062790275,10
0,281,((log_v_k_nu - (-1.7568893)) + (log_v_k_nu * (-0.97452426))),-0.062790275,7
0,282,(35.824623 + (-34.026413)),-0.06317928,3
0,283,((1 / (1 / 1.4953386)) / (1 / (1 / 0.83157545))),-0.06317927,7
0,276,((1 / (1 / 1.5247663)) / (1 / (1 / 0.84793818))),-0.0631793,7
0,285,(1 / (-2268.3369)),-3.2982864,2
0,287,1.7981873,-0.06317931,1
0,284,(1 / ((1 / (68.922607 + log_v_k_nu)) * (1 / 0.025490263))),-0.06279028,8
0,269,((1 / (-0.066900559)) / ((-6357.8164) / 764.86542)),-0.063179284,6
0,261,(abs((log_v_k_nu - 3.6487615)) ^ (log_v_k_nu - 0.45891088)),-0.30408868,7
0,225,((1 / (-63.671505)) - ((1 / (-0.55129665)) - (abs(47.696774) ^ (-2254.4592)))),-0.06317933,9
0,286,((2.6711102 - log_v_k_nu) / (abs(log_v_k_nu) ^ log_v_k_nu)),-2.0836678,7
0,289,((1 / (1 / 1.7607422)) / (abs(0.98710638) ^ log_v_k_nu)),-0.06282341,7
0,275,(1 / ((1 / ((-1126416.8) + log_v_k_nu)) * ((-626954.62) - log_v_k_nu))),-0.06318188,9
0,291,((log_v_k_nu + 68.924561) / (0.25734574 / 0.006559663)),-0.062790275,7
0,293,(abs((1 / 0.34069008)) ^ 0.54529715),-0.063179776,4
0,294,((1 / ((-300.59131) / (-318.94785))) / (1 / (1 / 0.59004861))),-0.0631793,8
0,297,((log_v_k_nu + 51.69474) / (1 / 0.033678975)),-0.06283692,6
0,296,(1 / 0.55611145),-0.06317934,2
0,290,(1 / (abs((0.34582764 / 0.19644645)) ^ (1 / (-0.96381074)))),-0.0631793,7
0,298,((1 / (1 / 1.4953386)) / (1 / (1 / 0.83157545))),-0.06317927,7
0,299,(0.90783024 * log_v_k_nu),-0.6350846,3
0,295,((1 / 292.94366) / ((-1.8765556) + log_v_k_nu)),-3.2843387,6
